Unnamed: 0,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,ratings
151,Washington Heights,40.851902525553044,-73.93690027985234,Buunni Coffee,4fe30498e4b08d2f0d752131,40.85519403267616,-73.9377173781395,Café,8.1
152,Washington Heights,40.851902525553044,-73.93690027985234,La Casa del Mofongo,4afcba6af964a5206d2522e3,40.85026656753515,-73.9331453236254,Caribbean Restaurant,7.9
153,Washington Heights,40.851902525553044,-73.93690027985234,Fort Washington Bakery & Deli,4b5882bef964a520595b28e3,40.85104558248512,-73.93864460474616,Bakery,7.3
154,Washington Heights,40.851902525553044,-73.93690027985234,Terravita,5b57bb361acf11002c14ba96,40.848059,-73.93764499999999,New American Restaurant,8.1
155,Washington Heights,40.851902525553044,-73.93690027985234,Kismat Indian Restaurant,4ae7876ef964a5201eac21e3,40.85522172396485,-73.93696683600031,Indian Restaurant,7.7
156,Washington Heights,40.851902525553044,-73.93690027985234,Poción,57747010cd100bd4dbd9161e,40.84762878256225,-73.93837984011846,Lounge,8.3
157,Washington Heights,40.851902525553044,-73.93690027985234,AT&T,4e2c467d227197a112e202a3,40.84949305694621,-73.93456041812897,Mobile Phone Shop,7.5
158,Washington Heights,40.851902525553044,-73.93690027985234,The Vitamin Shoppe,4bdb02513904a593cf40489e,40.850117100000006,-73.9351315,Supplement Shop,7.2
159,Washington Heights,40.851902525553044,-73.93690027985234,La Cabana Salvadorena,4c16d2ec5e88c928c5ca2466,40.85433401375745,-73.9336768506694,Latin American Restaurant,7.6
160,Washington Heights,40.851902525553044,-73.93690027985234,181 Gourmet Deli,527dd322498e4b070fa0f484,40.851095815370044,-73.93892661241044,Deli / Bodega,7.0
161,Washington Heights,40.851902525553044,-73.93690027985234,Yang Garden,4b292f38f964a520939a24e3,40.85530896752232,-73.93783226069495,Chinese Restaurant,7.6
162,Washington Heights,40.851902525553044,-73.93690027985234,Monkey Room,419d3780f964a5202c1e1fe3,40.85497693265442,-73.93704592998373,Bar,7.3
163,Washington Heights,40.851902525553044,-73.93690027985234,Frank's Market,4a61fbe8f964a520c5c21fe3,40.85533405166097,-73.93716221785516,Grocery Store,7.4
164,Washington Heights,40.851902525553044,-73.93690027985234,T-Mobile,4cd421736be6a143f3c69802,40.85046159898994,-73.93528160613425,Mobile Phone Shop,6.9
165,Washington Heights,40.851902525553044,-73.93690027985234,Starbucks,4aafdf93f964a520f66420e3,40.85096145,-73.93833015,Coffee Shop,6.9
166,Washington Heights,40.851902525553044,-73.93690027985234,Lucky 7 Tapas Bar,4e8d32ebb803ca3dfcbd112e,40.85044675560533,-73.9330302761512,Tapas Restaurant,7.3
